No.,Road Name,"City, Post Code",POINT
30,ROUTE DE BALE,Colmar 68000,START-FINISH
2,BIBERACKER WEG,Colmar 68000,B1
12,BIBERACKER WEG,Colmar 68000,B2
30,BIBERACKER WEG,Colmar 68000,B3
4,CHEMIN DE LA LAUCH ,Colmar 68000,C1
6,CHEMIN DE LA LAUCH ,Colmar 68000,C2
3,CHEMIN DE LA SPECK,Colmar 68000,C3
9,CHEMIN DE LA SPECK,Colmar 68000,C4
28,CHEMIN DE LA SPECK,Colmar 68000,C5
33,CHEMIN DE LA SPECK,Colmar 68000,C6
50,CHEMIN DE LA SPECK,Colmar 68000,C7
52,CHEMIN DE LA SPECK,Colmar 68000,C8
61,CHEMIN DE LA SPECK,Colmar 68000,C9
76,CHEMIN DE LA SPECK,Colmar 68000,C10
122,CHEMIN DE LA SPECK,Colmar 68000,C11a
32A,CHEMIN DE LA SPECK,Colmar 68000,C12
52A,CHEMIN DE LA SPECK,Colmar 68000,C12
52B,CHEMIN DE LA SPECK,Colmar 68000,C13
52D,CHEMIN DE LA SPECK,Colmar 68000,C14
10,CHEMIN DE SAINTE-CROIX,Colmar 68000,CA1
14,CHEMIN DE SAINTE-CROIX,Colmar 68000,CA2
19A,CHEMIN DE SAINTE-CROIX,Colmar 68000,CA3
19B,CHEMIN DE SAINTE-CROIX,Colmar 68000,CA4
2,CHEMIN INSELWEG,Colmar 68000,CB1
10,CHEMIN INSELWEG,Colmar 68000,CB2
7,CHEMIN LAUCHWERB,Colmar 68000,CL1
17,CHEMIN LAUCHWERB,Colmar 68000,CL2
36,CHEMIN LAUCHWERB,Colmar 68000,CL3
40,CHEMIN LAUCHWERB,Colmar 68000,CL4
46,CHEMIN LAUCHWERB,Colmar 68000,CL5
57,CHEMIN LAUCHWERB,Colmar 68000,CL6
83,CHEMIN LAUCHWERB,Colmar 68000,CL7
83,CHEMIN LAUCHWERB,Colmar 68000,CL8
90,CHEMIN LAUCHWERB,Colmar 68000,CL9
105,CHEMIN LAUCHWERB,Colmar 68000,CL10
4,CHEMIN SCHERERSBRUNNWEG ,Colmar 68000,CS1
6,CHEMIN SCHERERSBRUNNWEG ,Colmar 68000,CS2
8,CHEMIN SCHERERSBRUNNWEG ,Colmar 68000,CS3
11,CHEMIN SCHERERSBRUNNWEG ,Colmar 68000,CS4
22,CHEMIN SCHERERSBRUNNWEG ,Colmar 68000,CS5
27,CHEMIN SCHERERSBRUNNWEG ,Colmar 68000,CS6
12,CHEMIN UNTERER TRAENKWEG,Colmar 68000,CU1
22,CHEMIN UNTERER TRAENKWEG,Colmar 68000,CU2
7,RUE ARISTIDE BRIAND,Colmar 68000,A1
8,RUE ARISTIDE BRIAND,Colmar 68000,A2
21,RUE ARISTIDE BRIAND,Colmar 68000,A3
27,RUE ARISTIDE BRIAND,Colmar 68000,A4
1A,RUE ARISTIDE BRIAND,Colmar 68000,A5
11,RUE DES ANEMONES,Colmar 68000,DA1
15,RUE DES ANEMONES,Colmar 68000,DA2
20,RUE DES ANEMONES,Colmar 68000,DA3
4,RUE DES AUNES,Colmar 68000,AU1
9,RUE DES AUNES,Colmar 68000,AU2
16,RUE DES AUNES,Colmar 68000,AU3
18,RUE DES AUNES,Colmar 68000,AU4
22,RUE DES AUNES,Colmar 68000,AU5
25,RUE DES AUNES,Colmar 68000,AU6
26,RUE DES AUNES,Colmar 68000,AU7
35,RUE DES AUNES,Colmar 68000,AU8
43,RUE DES AUNES,Colmar 68000,AU9
14A,RUE DES AUNES,Colmar 68000,AU10
49A,RUE DES AUNES,Colmar 68000,AU11
6,RUE DES GLAIEULS,Colmar 68000,G1
2,RUE DES IRIS,Colmar 68000,D1
3,RUE DES IRIS,Colmar 68000,D2
5,RUE DES IRIS,Colmar 68000,D3
7,RUE DES IRIS,Colmar 68000,D4
9,RUE DES IRIS,Colmar 68000,D5
15,RUE DES IRIS,Colmar 68000,D6
23,RUE DES IRIS,Colmar 68000,D7
24,RUE DES IRIS,Colmar 68000,D8
27,RUE DES IRIS,Colmar 68000,D9
31,RUE DES IRIS,Colmar 68000,D10
41,RUE DES IRIS,Colmar 68000,D11
5,RUE DES JACINTHES,Colmar 68000,J1
6,RUE DES JACINTHES,Colmar 68000,J2
8,RUE DES JACINTHES,Colmar 68000,J3
11,RUE DES JACINTHES,Colmar 68000,J4
12,RUE DES JACINTHES,Colmar 68000,J5
18,RUE DES JACINTHES,Colmar 68000,J6
6,RUE DES NENUPHARS,Colmar 68000,N1
7,RUE DES NENUPHARS,Colmar 68000,N2
9,RUE DES NENUPHARS,Colmar 68000,N3
14,RUE DES NENUPHARS,Colmar 68000,N4
5B,RUE DES NENUPHARS,Colmar 68000,N5
2,RUE DES PRIMEVERES,Colmar 68000,P1
13,RUE DES PRIMEVERES,Colmar 68000,P2
22,RUE DES PRIMEVERES,Colmar 68000,P3
20,RUE MICHEL DE MONTAIGNE,Colmar 68000,M1
32,RUE MICHEL DE MONTAIGNE,Colmar 68000,M2
5,RUE RITTERGAESSLEIN,Colmar 68000,R1
14,RUE RITTERGAESSLEIN,Colmar 68000,R2
12A,RUE RITTERGAESSLEIN,Colmar 68000,R3
7,RUE SERPENTINE,Colmar 68000,S1
15,RUE SERPENTINE,Colmar 68000,S2